title,url
"""Hello, World!"" program - Wikipedia","https://en.wikipedia.org/wiki/%2522Hello,_World!%2522_program"
Hello World (film) - Wikipedia,https://en.wikipedia.org/wiki/Hello_World_(film)
hello world - YouTube,https://www.youtube.com/watch%3Fv%3DYw6u6YkTgQ4
Hello World - Lady Antebellum - YouTube,https://www.youtube.com/watch%3Fv%3Dal2DFQEZl4M
"HelloWorld Coliving, Student Hostels & Coworking Spaces",https://thehelloworld.com/
Say 'Hello World' in 28 Different Programming Languages,https://excelwithbusiness.com/blog/say-hello-world-in-28-different-programming-languages/
"Lesson: A Closer Look at the ""Hello World!"" Application (The Java",https://docs.oracle.com/javase/tutorial/getStarted/application/index.html
"Hello, World! - Free Interactive Python Tutorial",https://www.learnpython.org/en/Hello%252C_World%2521
The History of Hello World - The Software Guild,https://www.thesoftwareguild.com/blog/the-history-of-hello-world/
"Computer Programming/Hello world - Wikibooks, open books for an ...",https://en.wikibooks.org/wiki/Computer_Programming/Hello_world
